"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ar.edu.unq.partnersdevapp","src/main/java/ar/edu/unq/partnersdevapp/App.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"2","ar.edu.unq.partnersdevapp","src/main/java/ar/edu/unq/partnersdevapp/App.java","3","8","Document empty method","Design Rules","UncommentedEmptyMethod"
"3","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"4","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","5","44","Found 'DD'-anomaly for variable 'valorNuevo' (lines '44'-'47').","Controversial Rules","DataflowAnomalyAnalysis"
"5","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","5","54","Found 'DD'-anomaly for variable 'valorNuevo' (lines '54'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"6","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","2","71","System.out.print is used","Java Logging Rules","SystemPrintln"
"7","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","3","74","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"8","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Categoria.java","2","75","System.out.print is used","Java Logging Rules","SystemPrintln"
"9","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/Nivel.java","3","18","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"10","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/PlanDeCarrera.java","5","54","Found 'DD'-anomaly for variable 'res' (lines '54'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"11","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/PlanDeCarrera.java","5","57","Found 'DD'-anomaly for variable 'res' (lines '57'-'57').","Controversial Rules","DataflowAnomalyAnalysis"
"12","ar.edu.unq.partnersdevapp.dominio.carrera","src/main/java/ar/edu/unq/partnersdevapp/dominio/carrera/PlanDeCarrera.java","5","65","Found 'DD'-anomaly for variable 'res' (lines '65'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
