"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaComponent.java","3","12","Avoid variables with short names like id","Naming Rules","ShortVariable"
"2","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","17","Perhaps 'form' could be replaced by a local variable.","Design Rules","SingularField"
"4","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","21","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","21","Perhaps 'field' could be replaced by a local variable.","Design Rules","SingularField"
"7","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","23","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"8","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","23","Perhaps 'field2' could be replaced by a local variable.","Design Rules","SingularField"
"9","ar.edu.unq.partnersdevapp.vista.components","src/main/java/ar/edu/unq/partnersdevapp/vista/components/AltaPlan.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"10","ar.edu.unq.partnersdevapp.vista.pages","src/main/java/ar/edu/unq/partnersdevapp/vista/pages/BasePage.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","ar.edu.unq.partnersdevapp.vista.pages","src/main/java/ar/edu/unq/partnersdevapp/vista/pages/BasePage.java","3","22","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"12","ar.edu.unq.partnersdevapp.vista.pages","src/main/java/ar/edu/unq/partnersdevapp/vista/pages/BasePage.java","3","24","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"13","ar.edu.unq.partnersdevapp.vista.pages","src/main/java/ar/edu/unq/partnersdevapp/vista/pages/Page1.java","3","6","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"14","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/AddPlan.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"15","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/AddPlan.java","3","14","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"16","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/AddPlan.java","3","16","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"17","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/AddPlan.java","3","16","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"18","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/BeanEjemplo.java","3","15","Parameter 'value' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/LogService.java","3","7","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"20","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/LogService.java","3","10","Do not use if statements that are always true or always false","Basic Rules","UnconditionalIfStatement"
"21","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/MounterURL.java","3","9","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"22","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/TestApplication.java","3","13","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"23","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/TestApplication.java","3","25","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"24","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/TestApplication.java","3","25","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"25","ar.edu.unq.partnersdevapp.vista.service","src/main/java/ar/edu/unq/partnersdevapp/vista/service/TestApplication.java","3","25","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
